Title,Artist,Year,Link
Cabriolet Sleigh (no number) ,Brewster & Co.,1880,http://www.metmuseum.org/art/collection/search/814419
Cabriolet Sleigh (no number) ,Brewster & Co.,1890,http://www.metmuseum.org/art/collection/search/814421
Terracotta plaques,,-27,http://www.metmuseum.org/art/collection/search/814422
Woman combing her hair,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814427
Mary Magdalene washing the feet of Christ,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814432
The Holy Family with the infant Saint John the Baptist,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814433
Madonna and Child with Saint Anne,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814434
Madonna and Child with Saint Anne,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814435
"The Holy Family with the infant Saint John the Baptist, and other saints and angels",John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814436
Madonna and Child,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814437
Madonna and Child,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814438
Seated woman holding a fan,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814439
Sybil (?) holding a book with a child at left,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814440
Putto reclining on a bed,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814441
Woman standing holding a mirror,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814442
Female figure seated in a long dress,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814443
Seated woman winding yarn,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814444
The Holy Family,Giuseppe Canale|John Boydell,1775,http://www.metmuseum.org/art/collection/search/814445
Judith slaying Holofernes,John Boydell|Giuseppe Canale,1775,http://www.metmuseum.org/art/collection/search/814446
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814453
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814457
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814458
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814459
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814460
Exhibition Sleigh #4200,Brewster & Co.,1893,http://www.metmuseum.org/art/collection/search/814461
Pan and Cupid,Flaminio Torre (Torri)|Agostino Carracci,1640,http://www.metmuseum.org/art/collection/search/814466
Saint Anne teaches the young Virgin how to read,Domenico Maria Bonavera,1670,http://www.metmuseum.org/art/collection/search/814476
"Guardian angel leading a child through danger, with a snake at lower left and a demon at lower right",Domenico Maria Bonavera|Domenico Maria Canuti,1670,http://www.metmuseum.org/art/collection/search/814477
How to seymoure [see more] then we like–A Cunning Mystery,"Isaac Robert Cruikshank|Francis Nathaniel Conyngham, 2nd Marquess Conyngham|Captain Horace Beauchamp Seymour|Elizabeth Conyngham, Marchioness Conyngham|John Johnston",1822,http://www.metmuseum.org/art/collection/search/814481
"The Mysterious Fair One, or–the Royal Introduction to the Circassian Beauty",Isaac Robert Cruikshank|S. W. Fores|Princess Caroline of Brunswick|George Prince of Wales,1819,http://www.metmuseum.org/art/collection/search/814482
The Guard as look after the Reg'lar Out-an'-Outer vot drives the Hero!,"Daniel O'Connell|Arthur Wellesley, 1st Duke of Wellington|Gabriel Shire Tregear|Isaac Robert Cruikshank",1829,http://www.metmuseum.org/art/collection/search/814484
The Gemman vot pays the Man vot drives the Sovereign,"Dr. Robert Knox|George IV, King of Great Britain and Ireland|Arthur Wellesley, 1st Duke of Wellington|Isaac Robert Cruikshank",1829,http://www.metmuseum.org/art/collection/search/814486
"Household Troops, or a Sketch of a Few, of the Principal Trustworthy and Confidential Domestics of Worthy and Confiding Families",Isaac Robert Cruikshank|Thomas McLean,1827,http://www.metmuseum.org/art/collection/search/814487
"A saint at right, Saint John Nepomuk (?), surrounded by figures, raising his hands towards angels at upper left",Domenico Maria Canuti|Anonymous,1670,http://www.metmuseum.org/art/collection/search/814489
Public Opinion!!,"George IV, King of Great Britain and Ireland|Princess Caroline of Brunswick|William Benbow|Isaac Robert Cruikshank",1820,http://www.metmuseum.org/art/collection/search/814491
A male saint kneeling before the Christ child,Domenico Maria Canuti|Anonymous,1670,http://www.metmuseum.org/art/collection/search/814492
A male saint kneeling before the Christ child,Carlo Antonio Forti|Domenico Maria Canuti,1679,http://www.metmuseum.org/art/collection/search/814494
Christ receiving the Virgin in heaven,Domenico Maria Canuti|Carlo Antonio Forti,1677,http://www.metmuseum.org/art/collection/search/814495
"The Martyrdom of Saint Christina, whose hair is pulled by a bearded torturer",Domenico Maria Canuti|Domenico Maria Bonavera,1673,http://www.metmuseum.org/art/collection/search/814496
Saint Thomas of Villanova,Ginevra Cantofoli,1658,http://www.metmuseum.org/art/collection/search/814497
Liston's Dream!,George Humphrey|Isaac Robert Cruikshank|John Liston|Anne Tyrer Liston|William Shakespeare,1825,http://www.metmuseum.org/art/collection/search/814498
"Household Troops, or a Sketch of a Few, of the Principal Trustworthy and Confidential Domestics of Worthy and Confiding Families",Isaac Robert Cruikshank|Thomas McLean,1827,http://www.metmuseum.org/art/collection/search/814499
Westminster Election,"George Cruikshank|Isaac Robert Cruikshank|Major John Cartwright|Henry ""Orator"" Hunt|Sir Francis Burdett, 5th Baronet|Michael Bruce|John Joseph Stockdale|Captain Sir Murray Maxwell|Sir Samuel Romilly|Francis Charles Seymour-Conway, 3rd Marquess of Hertford|Douglas Kinnaird",1818,http://www.metmuseum.org/art/collection/search/814501
"Mathew-orama for 1825--or--""My Memorandum Book"" make every body Comfortable that's my way""",Charles Mathews|Isaac Robert Cruikshank|George Humphrey,1825,http://www.metmuseum.org/art/collection/search/814502
"Mr. Mathews, as Miss Evelina Evergreen",John Limbird|Isaac Robert Cruikshank|Charles Mathews,1819,http://www.metmuseum.org/art/collection/search/814503
"Mr. Mathews, as Miss Evelina Evergreen",John Limbird|Charles Mathews|Isaac Robert Cruikshank,1819,http://www.metmuseum.org/art/collection/search/814504
"Mr. Mathews, as Miss Evelina Evergreen in his Trip to Paris",Charles Mathews|Isaac Robert Cruikshank,1814,http://www.metmuseum.org/art/collection/search/814505
The House of Lords,"Isaac Robert Cruikshank|Charles Molloy Westmacott|Sherwood, Jones & Co.",1823,http://www.metmuseum.org/art/collection/search/814506
"Monday after the ""Great St. Leger"", or Heroes of the Turf paying & receiving at Tattersalls","Sherwood, Jones & Co.|Isaac Robert Cruikshank",1824,http://www.metmuseum.org/art/collection/search/814507
High Life in London: The Octagon Room at the King's Theatre – all Portraits,C. Smith|Isaac Robert Cruikshank,1826,http://www.metmuseum.org/art/collection/search/814508
"The Royal Wells, Cheltenham or Spasmodic Affections from Spa Waters",Sherwood & Co.|Charles Molloy Westmacott|Isaac Robert Cruikshank,1825,http://www.metmuseum.org/art/collection/search/814509
Mathews's Trip to America,Isaac Robert Cruikshank|John Limbird|Charles Mathews,1824,http://www.metmuseum.org/art/collection/search/814510
"Mr. Mathews in his Various Characters in Travels in Earth, Air & Water",Hodgson & Company|George Cruikshank|Charles Mathews|Isaac Robert Cruikshank,1824,http://www.metmuseum.org/art/collection/search/814511
Mathew's Memorandum Book,Charles Mathews|William Cole|George Cruikshank,1825,http://www.metmuseum.org/art/collection/search/814512
"Mr. Mathews in his ""At Home"" of 1821",Isaac Robert Cruikshank|Charles Mathews,1821,http://www.metmuseum.org/art/collection/search/814513
Mr. Mathews at Home,John Limbird|Isaac Robert Cruikshank|Charles Mathews,1822,http://www.metmuseum.org/art/collection/search/814514
Flatheads from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814515
Zuni from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814516
Cherokee from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814517
Crow from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814518
Pima from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814519
Osage from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814520
Mandan from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814521
Pawnee from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814522
The Guard Wot Looks After the Sovereign,"Elizabeth Conyngham, Marchioness Conyngham|William Heath ('Paul Pry')|George Cruikshank",1829,http://www.metmuseum.org/art/collection/search/814523
Mohawk from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814524
Sioux from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814525
The Sailors Progress: Sic transit gloria Mundi,George Cruikshank|George Humphrey,1819,http://www.metmuseum.org/art/collection/search/814526
"Album 536, Page 83",,1950,http://www.metmuseum.org/art/collection/search/814527
"Album 536, Page 84",,1950,http://www.metmuseum.org/art/collection/search/814528
Boston Terrier from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814529
The O P Dance,Isaac Cruikshank|George Humphrey,1810,http://www.metmuseum.org/art/collection/search/814530
Solomon in All His Glory,Thomas Tegg|Isaac Cruikshank,1807,http://www.metmuseum.org/art/collection/search/814531
The Man Wot Drives the Sovereign,"Arthur Wellesley, 1st Duke of Wellington|George Cruikshank|William Heath ('Paul Pry')",1829,http://www.metmuseum.org/art/collection/search/814533
Choctaw from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814535
Seminole from Indians of the U. S. A. Educational Pictures (W608-3),,1950,http://www.metmuseum.org/art/collection/search/814536
Poodle from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814537
Great Dane from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814538
St. Bernard from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814539
Spitz from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814540
Pomeranian from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814541
German Shepherd from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814542
Cocker Spaniel from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814543
"Album 536, Page 85",,1950,http://www.metmuseum.org/art/collection/search/814544
Bloodhound from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814545
Irish Wolfhound from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814546
English Setter from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814547
Dalmatian from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814548
Pekingese from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814549
French Bulldog from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814550
Collie from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814551
Scottish Terrier from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814552
Pointer from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814553
English Bulldog from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814554
"Album 536, Page 86",,1950,http://www.metmuseum.org/art/collection/search/814555
"Album 536, Page 87",,1950,http://www.metmuseum.org/art/collection/search/814556
Cho Chow from Our Friend – the Dog Educational Pictures (W608-4),,1950,http://www.metmuseum.org/art/collection/search/814557
Amish Double Nine-patch quilt,Unknown,1925,http://www.metmuseum.org/art/collection/search/814558
"Airedale Terrier from Our Friend – the Dog Educational Pictures (W608-4)	",,1950,http://www.metmuseum.org/art/collection/search/814559
Thirteen-patch block quilt with Japanesque backing fabric,Unknown,1881,http://www.metmuseum.org/art/collection/search/814560
"Dachshund from Our Friend – the Dog Educational Pictures (W608-4)	",,1950,http://www.metmuseum.org/art/collection/search/814561
"Bull Terrier from Our Friend – the Dog Educational Pictures (W608-4)	",,1950,http://www.metmuseum.org/art/collection/search/814562
"Boxer from Our Friend – the Dog Educational Pictures (W608-4)	",,1950,http://www.metmuseum.org/art/collection/search/814563
"Wire-Haired Fox Terrier from Our Friend – the Dog Educational Pictures (W608-4)	",,1950,http://www.metmuseum.org/art/collection/search/814564
Costume of the Stadium Rifle Club,Isaac Robert Cruikshank,1810,http://www.metmuseum.org/art/collection/search/814566
"The cabin boy let fall a plate of eggs, and broke them all, although he saved his bacon (from, ""Steamers v. Stages; or, Andrew and His Wife, an Aquatic Excursion by Steam"")",Thomas Mosses|Isaac Robert Cruikshank,1830,http://www.metmuseum.org/art/collection/search/814569
"And so he fill'd his glass with Bacchus the, And told the Boy to fill his pipe with bacco (from, ""Steamers v. Stages; or, Andrew and His Wife, an Aquatic Excursion by Steam"")",Isaac Robert Cruikshank|George Wilmet Bonner,1830,http://www.metmuseum.org/art/collection/search/814572
"Steamers v. Stages (from, ""Steamers v. Stages; or, Andrew and His Wife, an Aquatic Excursion by Steam"")",George Wilmet Bonner|Isaac Robert Cruikshank,1830,http://www.metmuseum.org/art/collection/search/814573
"As scaling, love impell'd, a lofty wall, One luckless night, he fell in vast alarm, But caught a beam, and haply broke his fall, For which his fall retorting, broke his arm (from, ""Steamers v. Stages; or, Andrew and His Wife, an Aquatic Excursion by Steam"")",Isaac Robert Cruikshank|Thomas Mosses,1830,http://www.metmuseum.org/art/collection/search/814574
"The bills were paid, and Andrew and his wife now left the Ship, and hastened to the Boat (from, ""Steamers v. Stages; or, Andrew and His Wife, an Aquatic Excursion by Steam"")",Isaac Robert Cruikshank|Thomas Williams,1830,http://www.metmuseum.org/art/collection/search/814575
"A Lady Kneels Before George, Prince of Wales",Isaac Robert Cruikshank|George Prince of Wales,1810,http://www.metmuseum.org/art/collection/search/814576
A Young Man Laughs at a Sleeping Old Man in a Humble Dwelling with Animals,Isaac Cruikshank,1790,http://www.metmuseum.org/art/collection/search/814578
Covered vase (one of a pair),Worcester factory,1760,http://www.metmuseum.org/art/collection/search/814579
The Stadtholder,"Harrison and Co.|George Murray|Frederick I, King of Württemberg|Isaac Cruikshank",1795,http://www.metmuseum.org/art/collection/search/814580
Vase (one of a pair,Josiah Wedgwood|Josiah Wedgwood and Sons,1780,http://www.metmuseum.org/art/collection/search/814581
[24 Photographs of Carriages with Horses and Owners or Coachmen],Unknown,0,http://www.metmuseum.org/art/collection/search/814583
[Brewster & Co. Automobile Scrapbook],Unknown,0,http://www.metmuseum.org/art/collection/search/814585
"[32 Photographs of Horses, Carriages, and Family Groups]",Unknown,0,http://www.metmuseum.org/art/collection/search/814586
[Photograph Missing from Album at time of Acquisition],Pierre-Louis Pierson,1860,http://www.metmuseum.org/art/collection/search/814592
[17 Glass Negatives],,0,http://www.metmuseum.org/art/collection/search/814601
"[Highway Gas Station with Coca-Cola, Dr. Pepper, and Other Signs]",Walker Evans,0,http://www.metmuseum.org/art/collection/search/814602
[Old Barmouth],Francis Bedford|Francis Frith,0,http://www.metmuseum.org/art/collection/search/814603
The Pencil of Nature,Larry J. Schaaf|Hans P. Kraus Jr. Fine Photographs|Stamperia Valdonega|William Henry Fox Talbot,1989,http://www.metmuseum.org/art/collection/search/814607
"[Paintings Gallery, Stroganov Palace, St. Petersburg]",P. Bianchy,1855,http://www.metmuseum.org/art/collection/search/814611
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814612
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814613
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814614
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814615
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814616
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814617
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814618
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814619
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814620
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814621
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814622
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814623
"[Acropolis, Athens, Greece]",James Robertson,1850,http://www.metmuseum.org/art/collection/search/814624
"""The Wilde Woman of Aiken,"" from the ""Aiken and Vicinity"" series",James A. Palmer,1882,http://www.metmuseum.org/art/collection/search/814626
Bum-bemsue,Thomas Martin Easterly,1847,http://www.metmuseum.org/art/collection/search/814640
[Washington and Lincoln],,0,http://www.metmuseum.org/art/collection/search/814644
[Family Group of Ancestors of Elias Todd Foote],Jeremiah Gurney,1840,http://www.metmuseum.org/art/collection/search/814645
Title Page for a Series of Ornamental Designs,Baltasar le Mersier,1626,http://www.metmuseum.org/art/collection/search/814646
[Lot of Tintypes],Various,1860,http://www.metmuseum.org/art/collection/search/814647
[Album of Tintypes and Paper Photographs],Unknown,1860,http://www.metmuseum.org/art/collection/search/814648
Vase (Old World),Joseph S. Potter,1883,http://www.metmuseum.org/art/collection/search/814649
Vase (New World),Joseph S. Potter,1883,http://www.metmuseum.org/art/collection/search/814650
Thoughts on Matrimony,"Frances Villiers, Countess of Jersey|George Prince of Wales|Princess Caroline of Brunswick|Anna Maria Crouch|Isaac Cruikshank|S. W. Fores|Mary ""Perdita"" Robinson",1795,http://www.metmuseum.org/art/collection/search/814657
A Peep at the Parisot! With Q in the Corner,William Pitt|William Douglas 4th Duke of Queensbury|S. W. Fores|Richard Brinsley Sheridan|Isaac Cruikshank|Rose Parisot|Charles James Fox,1796,http://www.metmuseum.org/art/collection/search/814658
The Soldier's Farewell,"Isaac Cruikshank|George Moutard Woodward|D. N. Shury|Rudolph Ackermann, London",1803,http://www.metmuseum.org/art/collection/search/814659
"Telescope from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814662
"Rushmore Memorial from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814664
"Airplane from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814665
"War Tank from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814669
"Album 536, Page 88",,1950,http://www.metmuseum.org/art/collection/search/814671
"Lincoln Tunnel from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814672
"Stream-Lined Truck from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814673
"Technicolor from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814674
"Panama Canal from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814675
"Zeppelin from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814676
"X-Rays from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814677
"The Bathysphere from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814678
"Anti-Aircraft Gun from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814679
"Racing Automobile from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814680
"The Radio from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814681
"Album 536, Page 89",,1950,http://www.metmuseum.org/art/collection/search/814682
"Linotype from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814683
"Four-Color Press from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814684
"Suspension Bridge from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814685
"Empire State Building from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814686
"Boulder Dam from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814687
"Air Conditioning from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814688
"Welding from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814689
"The Stratosphere Balloon from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814690
"Album 536, Page 90",,1950,http://www.metmuseum.org/art/collection/search/814691
"Plough from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814692
"The Streamlined Train from Modern Wonders of the World Educational Pictures (W608-5)	",,1950,http://www.metmuseum.org/art/collection/search/814693
"Album 536, Page 91",,1950,http://www.metmuseum.org/art/collection/search/814695
Manchurian Mule Cart from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814696
Jungle Transportation (Sedan) from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814698
Horse Car from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814701
The Dirigible from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814702
Sheep Cart of the Azores from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814703
"The ""Clermont"" from Story of Transportation Educational Pictures (W608-6)",,1950,http://www.metmuseum.org/art/collection/search/814704
Mexican Carreta from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814705
Dutch Dog Cart from Story of Transportation Educational Pictures (W608-6),,1950,http://www.metmuseum.org/art/collection/search/814707
"Album 536, Page 92",,1950,http://www.metmuseum.org/art/collection/search/814709
[Madame Baretta's Dressing Room. The Comedie Francaise.],Chalot,1840,http://www.metmuseum.org/art/collection/search/814722
"[Stipple? after Millais, The Black Brunswicker]",Sir John Everett Millais|Unknown,1840,http://www.metmuseum.org/art/collection/search/814727
Ikroti,Nicholas Hlobo,2016,http://www.metmuseum.org/art/collection/search/814730
The Parable of the Good Shepherd,"Anonymous, Netherlandish, late 16th century|Joris Hoefnagel",1565,http://www.metmuseum.org/art/collection/search/814733
"La Fotografia Artistica, 1904–1917: Visione Italiana e Modernità",Paolo Costantini|Bollati Boringhieri,1990,http://www.metmuseum.org/art/collection/search/814737
Souvenir of San Francisco: Photogravures,"Cunningham, Curtiss & Welch|The Albertype Co.",1901,http://www.metmuseum.org/art/collection/search/814738
The Horse from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814741
The Fox from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814742
The Wild Ass from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814743
The Sheep from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814744
"Album 534, Page 105",,1900,http://www.metmuseum.org/art/collection/search/814745
The Horse and its Foal from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814746
The Camel from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814747
The Leopard from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814748
The Wild Goat from Animals album cards (W212),,1900,http://www.metmuseum.org/art/collection/search/814749
"Album 534, Page 107",,1900,http://www.metmuseum.org/art/collection/search/814750
"The Adoration of the Shepherds, with God the Father overhead",Niccolò dell' Abate|Gaetano Gandolfi,1754,http://www.metmuseum.org/art/collection/search/814767
"Frontispiece with oval portrait of Raphael, with three allegorical figures of the Arts supporting the tablet at center",Carlo Maratti|Raphael (Raffaello Sanzio or Santi)|Pietro Aquila|Giovanni Giacomo De Rossi,1675,http://www.metmuseum.org/art/collection/search/814768
Plate from a Series of Ornamental Designs,Baltasar le Mersier,1626,http://www.metmuseum.org/art/collection/search/814772
Plate from a Series of Ornamental Designs,Baltasar le Mersier,1626,http://www.metmuseum.org/art/collection/search/814773
Plate from a Series of Ornamental Designs,Baltasar le Mersier,1626,http://www.metmuseum.org/art/collection/search/814774
Amiens: Album Artistique,Unknown,1890,http://www.metmuseum.org/art/collection/search/814780
A History and Handbook of Photography,Scovill Manufacturing Comp.|John Thompson|Gaston Tissandier,1876,http://www.metmuseum.org/art/collection/search/814781
Sierra Nevada: The John Muir Trail.,The Archetype Press|Ansel Easton Adams,1938,http://www.metmuseum.org/art/collection/search/814782
A Way of Seeing: Photographs of New York,Viking Press|Helen Levitt|James Agee,1965,http://www.metmuseum.org/art/collection/search/814783
"Camera Work, A Photographic Quarterly [Reprint]",Unknown,1969,http://www.metmuseum.org/art/collection/search/814784
"Malerei, Fotografie, Film",László Moholy-Nagy|Albert Langen Verlag,1927,http://www.metmuseum.org/art/collection/search/814785
Es kommt der neue Fotograf!,Werner Gräff|Hermann Reckendorf,1929,http://www.metmuseum.org/art/collection/search/814786
Das Watt,Alfred Ehrhardt|Kurt Dingelstedt|Verlag Heinrich Ellermann,1937,http://www.metmuseum.org/art/collection/search/814787
Dzhon Khartfilʹd: Monografi︠i︡a,Ogis|Solomon Telingater|John Heartfield|Sergeĭ Mikhaĭlovich Tretʹ︠i︡akov,1937,http://www.metmuseum.org/art/collection/search/814788
The International Society of Copier Artists Quarterly,The International Society of Copier Artists,1989,http://www.metmuseum.org/art/collection/search/814789
Photographs from the Collection of the Gilman Paper Company,Richard Benson|Pierre Apraxine|White Oak Press,1985,http://www.metmuseum.org/art/collection/search/814790
The Baptism of Christ,Domenico Maria Bonavera|Francesco Albani,1670,http://www.metmuseum.org/art/collection/search/814793
"The Annunciation, with Gabriel and other angels at left and God the Father above",Francesco Albani|Giacomo-Maria Giovannini,1687,http://www.metmuseum.org/art/collection/search/814794
Ecce Homo with three angels,Gilles Rousselet|Francesco Albani,1634,http://www.metmuseum.org/art/collection/search/814795
Ecce Homo with three angels,Francesco Albani|Étienne Picart,1652,http://www.metmuseum.org/art/collection/search/814796
A group of elegantly dressed people playing cards,Nicolo Dell'Abbate|Sebastiano Gamma|Bartolomeo Crivellari,1740,http://www.metmuseum.org/art/collection/search/814798
A group of elegantly dressed people drinking,Sebastiano Gamma|Bartolomeo Crivellari|Nicolo Dell'Abbate,1740,http://www.metmuseum.org/art/collection/search/814799
A group of elegantly dressed people playing the harp and a guitar,Sebastiano Gamma|Bartolomeo Crivellari|Nicolo Dell'Abbate,1740,http://www.metmuseum.org/art/collection/search/814800
A group of elegantly dressed people playing the piano and other instruments,Nicolo Dell'Abbate|Bartolomeo Crivellari|Sebastiano Gamma,1740,http://www.metmuseum.org/art/collection/search/814801
